S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,X,D,
,X,D,X,D,X,D,X,D,X,D,X,D,,D,,D,,D,,D,,D,,D,,D,,D,
,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
