E,X,X,X,X,X,X,X,X,E,E,S,E,G,E,E
E,D,L,L,L,L,L,L,L,E,E,E,E,E,E,E
X,D,R,R,R,E,R,R,R,E,E,E,E,E,E,E
X,D,U,X,X,D,U,X,X,D,E,E,E,E,E,E
X,D,U,X,X,D,U,X,X,D,U,X,E,E,E,E
X,D,U,X,X,D,U,X,X,D,U,X,E,E,E,E
X,D,U,X,X,D,U,X,X,D,U,X,X,D,E,E
X,D,U,X,X,D,U,X,X,D,U,X,X,D,E,E
X,D,U,X,X,D,U,X,X,D,U,X,X,D,E,E
X,D,U,X,X,D,U,X,X,D,U,X,X,D,E,E
X,D,U,X,X,D,U,X,X,D,U,X,E,E,E,E
X,D,U,X,X,D,U,X,X,D,U,X,E,E,E,E
X,D,U,X,X,D,U,X,X,D,E,E,E,E,E,E
X,D,U,L,L,L,E,L,L,E,E,E,E,E,E,E
E,R,R,R,R,R,R,R,R,E,E,E,E,E,E,E
E,X,X,X,X,X,X,X,X,E,E,S,E,G,E,E
