S,,,,,,,,,,,,,,,,,,,S
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,R,R,,L,L,,R,R,,L,L,,R,R,,L,L,,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,R,R,,L,L,,R,R,,L,L,,R,R,,L,L,,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,R,R,,L,L,,R,R,,L,L,,R,R,,L,L,,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,X,X,D,
,R,R,,L,L,,R,R,,L,L,,R,R,,L,L,,
,X,X,D,,,D,,,D,,,D,,,D,,,D,
,X,X,D,,,D,,,D,,,D,,,D,,,D,
,R,R,,L,L,,R,R,,L,L,,R,R,,L,L,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,R,R,,L,L,,R,R,,L,L,,R,R,,L,L,,
G,,,,,,,,,,,,,,,,,,,G
