E,E,E,E,E,E,E,S,S,E,E,E,E,E,E,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,R,R,D,L,L,L,D,D,R,R,R,D,L,L,E
E,R,R,D,L,L,L,D,D,R,R,R,D,L,L,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,R,R,D,L,L,L,D,D,R,R,R,D,L,L,E
E,R,R,D,L,L,L,D,D,R,R,R,D,L,L,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,R,R,D,L,L,L,D,D,R,R,R,D,L,L,E
E,R,R,D,L,L,L,D,D,R,R,R,D,L,L,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,X,X,D,X,X,X,D,D,X,X,X,D,X,X,E
E,E,E,E,E,E,E,G,G,E,E,E,E,E,E,E
